baker,series,baker_age,baker_occupation,hometown
Annetha Mills,1,30,Midwife,Essex
David Chambers,1,31,Entrepreneur,Milton Keynes
Edd Kimber,1,24,Debt collector for Yorkshire Bank,Bradford
Jasminder Randhawa,1,45,Assistant Credit Control Manager,Birmingham
Jonathan Shepherd,1,25,Research Analyst,St Albans
Lea Harris,1,51,Retired,"Midlothian, Scotland"
Louise Brimelow,1,44,Police Officer,Manchester
Mark Whithers,1,48,Bus Driver,South Wales
Miranda Browne,1,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth Clemens,1,31,Retail manager/Housewife,"Poynton, Cheshire"
Ben Frazer,2,31,Graphic Designer,Northampton
Holly Bell,2,31,Advertising executive,Leicester
Ian Vallance,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Janet Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool"
Jason White,2,19,Civil Engineering Student,Croydon
Jo Wheatley,2,41,Housewife,"Ongar, Essex"
Keith Batsford,2,31,House husband,"Arlesey, Bedfordshire"
Mary-Anne Boermans,2,45,Housewife,"Kidderminster, Worcestershire"
Robert Billington,2,25,Photographer,London
Simon Blackwell,2,31,Rugby Coach,Norfolk
Urvashi Roe,2,40,Head of Marketing,"Enfield, London"
Yasmin Limbert,2,43,Childminder,"West Kirby, The Wirral"
Brendan Lynch,3,63,Recruitment consultant,Sutton Coldfield
Cathryn Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex"
Danny Bryden,3,45,Intensive care consultant,Sheffield
James Morton,3,21,Medical student,"Hillswick, Shetland Islands"
John Whaite,3,22,Law student,Wigan
Manisha Parmar,3,27,Nursery nurse,Leicester
Natasha Stringer,3,36,Midwife,"Tamworth, Staffordshire"
Peter Maloney,3,43,Sales manager,"Windsor, Berkshire"
Ryan Chong,3,38,Photographer,Bristol
Sarah-Jane Willis,3,28,Vicar's wife,"Bewbush, West Sussex"
Stuart Marston-Smith,3,26,PE teacher,"Lichfield, Staffordshire"
Victoria Chester,3,50,CEO of the charity Plantlife,Somerset
Ali Imdad,4,25,Charity worker,"Saltley, Birmingham"
Beca Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Christine Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire"
Deborah Manger,4,51,Dentist,Peterborough
Frances Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
